cestui|cestui1|cest|ISTE||DET||Dem,Masc,Sing,Acc
cestui|cestui2|cest|ISTE||DET||Dem,Masc,Sing,Nom
chanbres|chanbres|chambre1|CAMERA||NOUN||Fem,Plur
chapitel|chapitel|chapitel|CAPITELLUM||NOUN||Masc,Sing,Nom
chastel|chastel|chastel|CASTELLUM||NOUN||Masc,Sing,Acc
cheitif|cheitif|chaitif|CAPTIVUS||ADJ||Masc,Sing,Nom
chete|chete||||||
chevalerie|chevalerie|chevalerie|CABALLARIUS||NOUN||Fem,Sing
chevaleries|chevaleries|chevalerie|CABALLARIUS||NOUN||Fem,Plur
chevalier|chevalier|chevalier|CABALLARIUS||NOUN||Masc,Sing,Nom
chevaliers|chevaliers|chevalier|CABALLARIUS||NOUN||Masc,Plur,Nom
chevaliers|chevaliers1|chevalier|CABALLARIUS||NOUN||Masc,Plur,Acc
chief|chief|chief1|CAPUT||NOUN||Masc,Sing,Acc
chouses|chouses|chose|CAUSA||NOUN||Fem,Plur
ciaschune|ciaschune|chascun|CATA||PRON||Ind,Fem,Sing
ciascune|ciascune|chascun|CATA||DET||Ind,Fem,Sing
cité|cité|cité|CIVITAS||NOUN||Fem,Sing
close|close1|clore|CLAUDERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
clostres|clostres|cloistre|CLAUSTRUM||NOUN||Masc,Plur,Acc
com|com|come1|QUOMODO||SCONJ||
com|com1|come1|QUOMODO||ADV||
comensa|comensa1|comencier|COMINITIARE||VERB||Ind,Part,Past,Act,Trans,3,Sing
coment|coment|coment|QUOMODO||ADV||Int
conmencerent|conmencerent1|comencier|COMINITIARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
connestable|connestable|conestable|COMES||NOUN||Masc,Sing,Nom
conpaignie|conpaignie|compagnie|COMPANIO||NOUN||Fem,Sing
conpas|conpas|compas|COMPASSARE||NOUN||Masc,Sing,Acc
consoilla|consoilla|conseillier3|CONSILIARE||VERB||Fin,Ind,Past,Intr,3,Sing
contees|contees|conter|COMPUTARE||VERB|compPass|Ind,Part,Past,Plur,Fem,MWEs
conter|conter|conter|COMPUTARE||VERB||Ind,Inf,Pres,Act,Trans
contes|contes|conte2|COMPUTUS||NOUN||Masc,Sing,Nom
conté|conté|conter|COMPUTARE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
