FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
i	i	i2	HIC		PRON		
furent	furent	estre1	ESSE		VERB		Fin,Ind,Past,Intr,3,Plur
fors	fors	fors1	FORAS		ADP		
hector	hector	Hector			PROPN		Masc,Sing,Acc
seulement	seulement	solement	SOLUS		ADV		
.	.						
q’	q’	queque	QUID		PRON		Rel,Acc
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
avoit	avoit	avoir	HABERE		VERB		Fin,Ind,Imp,Act,Trans,3,Sing
tramis	tramis	trametre	TRANSMITTERE		VERB	compTens	Ind,Part,Past,Sing,Masc,MWEs
en	en	en1	IN		ADP		
le	le	le	ILLE		DET		ArtDef,Masc,Sing
partie	partie	partie	PARTIRE		NOUN		Fem,Sing
de	de	de	DE		ADP		
palone	palone						
por	por	por2	PRO		ADP		
lor	lor	lor3	ILLE		DET		Poss,Masc,Sing,Nom
grant	grant	grant	GRANDIS		ADJ		Masc,Sing,Acc
besoigne	besoigne	besoigne	*SUNNI		NOUN		Fem,Sing
achever	achever	achever	CAPUT		VERB		Ind,Inf,Pres,Act,Trans
.	.						
et	et	et	ET		CCONJ		
quant	quant	cant1	QUANDO		SCONJ		
les	les	le	ILLE		DET		ArtDef,Masc,Plur
sajes	sajes	sage	SAPIDUS		ADJ		Masc,Plur,Acc
homes	homes	ome	HOMO		NOUN		Masc,Plur,Nom
furent	furent	estre1	ESSE		VERB		Fin,Ind,Past,Intr,3,Plur
au	au	a3	AD		ADP		PrepArt
parlement	parlement	parlement	PARABOLARE		NOUN		Masc,Sing,Acc
asenblés	asenblés	assembler	ASSIMILARE		VERB	compTens	Ind,Part,Past,Plur,Masc,MWEs
.	.						
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
consoilla	consoilla	conseillier3	CONSILIARE		VERB		Fin,Ind,Past,Intr,3,Sing
ho	ho	avuec	AB HOC		ADP		
els	els	il	ILLE		PRON		Prs,3,Masc,Plur,Nom
ensi_com	ensi_com	ainsi	SIC		ADV	Adv	MWEs
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
dut	dut	devoir	DEBERE		VERB		Fin,Ind,Past,Intr,3,Sing
.	.						
en	en	en1	IN		ADP		
tel	tel	tel	TALIS		PRON		Ind,Masc,Sing,Nom
mainiere	mainiere	maniere	MANUARIUS		NOUN		Fem,Sing
com	com	come1	QUOMODO		SCONJ		
je	je	je	EGO		PRON		Prs,1,Sing,Nom
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
dirai	dirai	dire	DICERE		VERB		Fin,Ind,Pres,Intr,1,Sing
.	.						
coment	coment	coment	QUOMODO		ADV		Int
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
parla	parla	parler	PARABOLARE		VERB		Fin,Ind,Past,Intr,3,Sing
entre	entre	entre2	INTER		ADP		
ses	ses	suen	SUUS		DET		Poss,Masc,Plur,Nom
barons	barons	baron	*BARO		NOUN		Masc,Plur,Nom
.	.						
biau	biau	bel	BELLUS		ADJ		Masc,Sing,Nom
seignors	seignors	seignor	SENIOR		NOUN		Masc,Plur,Nom
.	.						
fist	fist	faire	FACERE		VERB		Fin,Ind,Past,Intr,3,Sing
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
.	.						
