#name|sign|msd_id_list
noun|NOUN|1,2,3
properNoun|PROPN|1,2,3
adjective|ADJ|1,2,3,4
determiner|DET|1,2,3,16
pronoun|PRON|1,2,3,15
verb|VERB|6,7,8,9,10,2,11
adposition|ADP|5
adverb|ADV|4,13
coordinating conjunction|CCONJ
subordinating conjunction|SCONJ
numeral|NUM|17
particle|PART|14
interjection|INTJ
punctuation|X
del|-




