FORMA	FORMAKEY	LEMMA	ETIMO	LANG	POS	FUNCT	MSD
de	de	de	DE		ADP		
palone	palone						
por	por	por2	PRO		ADP		
lor	lor2	lor3	ILLE		DET		Poss,Fem,Sing
grant	grant1	grant	GRANDIS		ADJ		Fem,Sing
besoigne	besoigne	besoigne	*SUNNI		NOUN		Fem,Sing
achever	achever	achever	CAPUT		VERB		Ind,Inf,Pres,Act,Trans
.	.						
et	et	et	ET		CCONJ		
quant	quant	cant1	QUANDO		SCONJ		
les	les	le	ILLE		DET		ArtDef,Masc,Plur
sajes	sajes	sage	SAPIDUS		ADJ		Masc,Plur,Acc
homes	homes	ome	HOMO		NOUN		Masc,Plur,Nom
furent	furent2	estre1	ESSE		VERB	auxPass	Fin,Ind,Past,3,Plur,MWEs
au	au	a3	AD		ADP		PrepArt
parlement	parlement	parlement	PARABOLARE		NOUN		Masc,Sing,Acc
asenblés	asenblés1	assembler	ASSIMILARE		VERB	compPass	Ind,Part,Past,Plur,Masc,MWEs
.	.						
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
consoilla	consoilla	conseillier3	CONSILIARE		VERB		Fin,Ind,Past,Intr,3,Sing
ho	ho	avuec	AB HOC		ADP		
els	els1	il	ILLE		PRON		Prs,3,Masc,Plur,Acc
ensi_com	ensi_com	ainsi	SIC		ADV	Adv	MWEs
il	il	il	ILLE		PRON		Prs,3,Masc,Sing,Nom
dut	dut	devoir	DEBERE		VERB		Fin,Ind,Past,Intr,3,Sing
.	.						
en	en	en1	IN		ADP		
tel	tel6	tel	TALIS		DET		Ind,Fem,Sing
mainiere	mainiere	maniere	MANUARIUS		NOUN		Fem,Sing
com	com	come1	QUOMODO		SCONJ		
je	je	je	EGO		PRON		Prs,1,Sing,Nom
vos	vos	vos	VOS		PRON		Prs,2,Plur,Acc
dirai	dirai	dire	DICERE		VERB		Fin,Ind,Pres,Intr,1,Sing
.	.						
coment	coment	coment	QUOMODO		ADV		Int
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
parla	parla	parler	PARABOLARE		VERB		Fin,Ind,Past,Intr,3,Sing
entre	entre	entre2	INTER		ADP		
ses	ses1	suen	SUUS		DET		Poss,Masc,Plur,Acc
barons	barons1	baron	*BARO		NOUN		Masc,Plur,Acc
.	.						
biau	biau3	bel	BELLUS		ADJ		Masc,Plur,Nom
seignors	seignors	seignor	SENIOR		NOUN		Masc,Plur,Nom
.	.						
fist	fist	faire	FACERE		VERB		Fin,Ind,Past,Intr,3,Sing
li	li	le	ILLE		DET		ArtDef,Masc,Sing
roi	roi	roi	REX		NOUN		Masc,Sing,Nom
.	.						
entendés	entendés	entendre	INTENDERE		VERB		Fin,Imp,Pres,Intr,2,Plur
à	à	a3	AD		ADP		
moi	moi	moi	ME		PRON		Prs,1,Sing,Acc
.	.						
qi	qi	qui	QUI		PRON		Rel,Nom
vos	vos1	vos	VOS		PRON		Prs,2,Plur,Nom
.	.						
qi	qi	qui	QUI		PRON		Rel,Nom
fois	fois1	foi	FIDES		NOUN		Fem,Sing
et	et	et	ET		CCONJ		
loiauté	loiauté	lëauté	LEGALIS		NOUN		Fem,Sing
me	me	moi	ME		PRON		Prs,1,Sing,Acc
portés	portés	porter	PORTARE		VERB		Ind,Part,Past,Plur,Masc
.	.						
vos	vos1	vos	VOS		PRON		Prs,2,Plur,Nom
savés	savés	savoir	SAPERE		VERB		Fin,Ind,Pres,Act,Trans,2,Plur
bien	bien	bien2	BENE		ADV		Man
coment	coment	coment	QUOMODO		ADV		Int
les	les	le	ILLE		DET		ArtDef,Masc,Plur
gresois	gresois2	gregois	GRAECUS		ADJ	Noun	Masc,Plur,Nom
