fesoit|fesoit|faire|FACERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
firent|firent|faire|FACERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
follie|follie|folie2|FOLLIS||NOUN||Fem,Sing
fondés|fondés|fonder2|FUNDARE||VERB|Adj|Ind,Part,Past,Sing,Masc
fors|fors|fors1|FORAS||ADP||
fors|fors1|fort|FORTIS||ADJ||Masc,Sing,Nom
ge|ge|je|EGO||PRON||Prs,1,Sing,Nom
grant|grant|grant|GRANDIS||ADJ||Masc,Sing,Acc
grant|grant1|grant|GRANDIS||ADJ||Fem,Sing
guerre|guerre|guerre|*WERRA||NOUN||Fem,Sing
haine|haine|häine| *HATJAN||NOUN||Fem,Sing
henor|henor|onor|HONOS||NOUN||Masc,Sing,Acc
homes|homes|ome|HOMO||NOUN||Masc,Plur,Nom
hot|hot|avoir|HABERE||VERB|auxTens|Fin,Ind,Past,3,Sing,MWEs
hoïr|hoïr|öir|AUDIRE||VERB||Ind,Inf,Pres,Act,Trans
je|je|je|EGO||PRON||Prs,1,Sing,Nom
le|le|le|ILLE||DET||ArtDef,Masc,Sing
le|le1|le|ILLE||PRON||Prs,3,Masc,Sing,Acc
le|le2|le|ILLE||DET||ArtDef,Fem,Sing
le|le3|le|ILLE||DET||ArtDef,Fem,Plur
le|le4|le|ILLE||PRON||Prs,3,Masc,Sing,Acc
lengue|lengue|langue1|LINGUA||NOUN||Fem,Sing
les|les|le|ILLE||DET||ArtDef,Masc,Plur
les|les1|le|ILLE||DET||ArtDef,Masc,Plur,Acc
les|les2|le|ILLE||DET||ArtDef,Fem,Plur
lez|lez|le|ILLE||DET||ArtDef,Masc,Plur
livre|livre|livre2|LIBER2||NOUN||Masc,Sing,Nom
livre|livre1|livre2|LIBER2||NOUN||Masc,Sing,Acc
lonc|lonc|lonc|LONGUS||ADJ||Masc,Sing,Acc
lor|lor|lor3|ILLE||DET||Poss,Masc,Sing,Nom
lor|lor1|lor3|ILLE||DET||Poss,Masc,Sing,Acc
lor|lor2|lor3|ILLE||DET||Poss,Fem,Sing
mervoilleus|mervoilleus|merveillos|MIRABILIA||ADJ||Masc,Sing,Nom
metoit|metoit|metre2|MITTERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
metre|metre|metre2|MITTERE||VERB||Ind,Inf,Pres,Act,Trans
mis|mis|metre2|MITTERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
mist|mist|metre2|MITTERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
nevo|nevo|nevo|NEPOS||NOUN||Masc,Sing,Acc
nuit|nuit|nuit|NOX||NOUN||Fem,Sing
parlant|parlant|parler|PARABOLARE||VERB||Ind,Ger,Pres,Intr
paroule|paroule|parler|PARABOLARE||VERB||Fin,Ind,Pres,Intr,3,Sing
celui|celui2|cel|ILLE||PRON||Dem,Masc,Sing,Nom
vaillans|vaillans|valoir|VALERE||VERB|Adj|Ind,Part,Pres
vaillant|vaillant|valoir|VALERE||VERB|Adj|Ind,Part,Pres
veoit|veoit|vëoir|VIDERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
veraie|veraie|verai|*VERACUS||ADJ||Fem,Sing
veraiement|veraiement|veraiement|*VERACUS||ADV||Man
verité|verité|verité|VERITAS||NOUN||Fem,Sing
verité|verité1|verité|VERITAS||NOUN||Fem,Sing,Acc
veü|veü|vëoir|VIDERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
vint|vint|venir|VENIRE||VERB||Fin,Ind,Past,Intr,3,Sing
vit|vit|vëoir|VIDERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
vivoit|vivoit|vivre1|VIVERE||VERB||Fin,Ind,Imp,Intr,3,Sing
vivroient|vivroient|vivre1|VIVERE||VERB||Fin,Cnd,Pres,Intr,3,Plur
voill|voill|voloir|VELLE||VERB|auxMod|Fin,Ind,Pres,1,Sing
volt|volt|voloir|VELLE||VERB|auxMod|Fin,Ind,Past,3,Sing
vos|vos|vos|VOS||PRON||Prs,2,Plur,Acc
vostrent|vostrent|voloir|VELLE||VERB|auxMod|Fin,Ind,Past,3,Plur
à|à|a3|AD||ADP||
à_la|à_la|a3|AD||ADP||PrepArt
tenoit|tenoit|tenir1|TENERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
tenz|tenz|tens|TEMPS1||NOUN||Masc,Sing,Acc
teü|teü|taire|TACERE||VERB|compTens|Ind,Part,Past,Plur,Masc,MWEs
tornee|tornee|tonrner|TORNARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
tou|tou|tot|TOTUS||DET||Ind,Masc,Sing,Acc
traitai|traitai|traitier|TRACTARE||VERB||Fin,Ind,Past,Intr,3,Sing
travaillier|travaillier|travaillier|*TRIPALIARE||VERB||Ind,Inf,Pres,Act,Trans
trevant|trevant|trever (GD)|*TREUWA||VERB||Ind,Part,Pres,Intr
troie|troie|Troie|||PROPN||Fem,Sing
troie|troie1|Troie|||PROPN||Fem,Sing,Acc
troien|troien|troyen|TROJANUS||ADJ|Noun|Masc,Sing,Nom
troienz|troienz|troyen|TROJANUS||ADJ||Masc,Sing,Nom
troienz|troienz1|troyen|TROJANUS||ADJ|Noun|Masc,Plur,Acc
trover|trover|trover|*TROPARE||VERB||Ind,Inf,Pres,Act,Trans
troverent|troverent|trover|*TROPARE||VERB||Fin,Ind,Past,Act,Trans,3,Plur
trovés|trovés|trover|*TROPARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
un|un|un|UNUS||DET||ArtIndef,Masc,Sing
un|un1|un|UNUS||DET||ArtIndef,Masc,Sing,Acc
saje|saje|sage|SAPIDUS||ADJ||Masc,Sing,Nom
saje|saje1|sage|SAPIDUS||ADJ||Masc,Sing,Acc
sajes|sajes|sage|SAPIDUS||ADJ||Masc,Plur,Acc
salemon|salemon|Salomon|||PROPN||Masc,Sing,Nom
saluste|saluste|Saluste|||PROPN||Masc,Sing,Nom
savoir|savoir|savoir|SAPERE||VERB|Noun|Ind,Inf,Pres
savoit|savoit|savoir|SAPERE||VERB|auxMod|Fin,Ind,Imp,3,Sing
savroient|savroient|savoir|SAPERE||VERB||Fin,Cnd,Pres,Act,Trans,3,Plur
se|se|soi|SE||PRON||Prs,3,Sing,Acc
tot_ce|tot_ce|tot|TOTUS||DET|Pron|Ind,Neut,Sing,MWEs
tot_ce_qe|tot_ce_qe|tot|TOTUS||DET|SConj |Ind,Neut,Sing,MWEs
un|un2|un|UNUS||PRON||Ind,Masc,Sing,Nom
une|une|un|UNUS||DET||ArtIndef,Fem,Sing
adonc|adonc|adonc|DUNC||ADV||
afaire|afaire|afaire|FACERE||NOUN||Masc,Sing,Acc
ai|ai|avoir|HABERE||VERB|auxTens|Fin,Ind,Pres,1,Sing,MWEs
ainc|ainc|ainz|ANTE||ADV||
amonest|amonest|amonester|*ADMONESTARE||VERB||Fin,Ind,Pres,Act,Trans,3,Sing
amor|amor|amor|AMOR||NOUN||Fem,Sing
ans|ans|an|ANNUS||NOUN||Masc,Plur,Acc
ansesors|ansesors|ancessor|ANTECESSOR||NOUN||Masc,Plur,Nom
anz|anz|an|ANNUS||NOUN||Masc,Plur,Acc
apellés|apellés|apeler|APELLARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
aportés|aportés|aporter|APPORTARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
aprendre|aprendre|aprendre|APPREHENDERE||VERB||Ind,Inf,Pres,Act,Trans
aprés|aprés|après|AD PRESSUM||ADP||
aprés_ce_qe|aprés_ce_qe|après|AD PRESSUM||ADV|SConj |
ardis|ardis|hardi|*HARDJAN||ADJ||Masc,Sing,Nom
armaire|armaire|armaire|ARMARIUM||NOUN||Masc,Sing,Acc
ars|ars|art|ARS||NOUN||Fem,Plur
arte|arte|X|X||X||
as|as|a3|AD||ADP||PrepArt
ateines|ateines|Athènes|||PROPN||Fem,Sing
aut|aut|haut|ALTUS||ADJ||Masc,Sing,Acc
autre|autre|autre|ALTER||PRON||Ind,Masc,Sing,Acc
autres|autres|autre|ALTER||PRON||Ind,Masc,Plur,Acc
avendroit|avendroit|avenir|ADVENIRE||VERB||Fin,Cnd,Pres,Intr,3,Sing
avint|avint|avenir|ADVENIRE||VERB||Fin,Ind,Past,Intr,3,Sing
avoir|avoir|avoir|HABERE||VERB||Ind,Inf,Pres,Act,Trans
avoit|avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
avoit|avoit1|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
bataille|bataille|bataille|BATTUALIA||NOUN||Fem,Sing
bestes|bestes|beste|BESTIA||NOUN||Fem,Plur
bien|bien|bien2|BENE||ADV||Man
ahotiricés|ahotiricés|autorités|AUCTORITAS||NOUN||Fem,Sing
cels_qe|cels_qe|cel|ILLE||PRON|Pron|Dem,Masc,Plur,Nom,MWEs
ci|ci|ci|HIC||ADV||
coment|coment|coment|QUOMODO||ADV||Int
comme|comme|come|QUOMODO||ADV||
conneüe|conneüe|conoistre|COGNOSCERE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
duree|duree|durer|DURARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
els|els|il|ILLE||PRON||Prs,3,Masc,Plur,Nom
els|els1|il|ILLE||PRON||Prs,3,Masc,Plur,Acc
est|est|estre1|ESSE||VERB||Fin,Ind,Pres,Intr,3,Sing
